numero,Nombre,Posicion,Edad,Pais,Precio,Alineaciones
1,Kylian Mbappé,Delantero centro,24,Francia,180000000,29
2,Erling Haaland,Delantero centro,22,noruega,170000000,32
3,Vinicius Junior,Extremo izquierdo,22,Brasil,120000000,29
4,Jude Bellingham,Mediocentro,19,Inglaterra,110000000,28
5,Phil Foden,Mediocentro,22,Inglaterra,110000000,30
6,Pedri,Mediocentro,20,España,100000000,26
7,Jamal Musiala,Mediocentro ofensivo,19,Alemania,100000000,29
8,Bukayo Saka,Interior derecho,21,Inglaterra,100000000,32
9,Federico Valverde,Mediocentro,24,Uruguay,100000000,29
10,Gavi,Mediocentro,18,España,90000000,33
11,Aurélien Tchouameni,Pivote,22,Francia,90000000,27
12,Harry Kane,Delantero centro,29,Inglaterra,90000000,35
13,Rafael Leão,Extremo izquierdo,23,Portugal,85000000,31
14,Rodrygo,Extremo derecho,22,Brasil,80000000,28
15,Declan Rice,Pivote,24,Inglaterra,80000000,31
16,Rodri,Pivote,26,España,80000000,33
17,Dusan Vlahovic,Delantero centro,22,Serbia,80000000,18
18,Christopher Nkunku,Mediapunta,25,Francia,80000000,29
19,Bernardo Silva,Mediocentro ofensivo,28,Portugal,80000000,36
20,Joshua Kimmich,Pivote,27,Alemania,80000000,31
21,Mohamed Salah,Extremo derecho,30,Egipto,80000000,31
22,Kevin De Bruyne,Mediocentro ofensivo,31,Bélgica,80000000,32
23,Antony,Extremo derecho,22,Brasil,75000000,24
24,Luis Díaz,Extremo izquierdo,26,Colombia,75000000,14
25,Josko Gvardiol,Defensa central,20,Croacia,75000000,22
26,Lautaro Martínez,Delantero centro,25,Argentina,75000000,29
27,Gabriel Jesus,Delantero centro,25,Brasil,75000000,20
28,Mason Mount,Mediocentro ofensivo,24,Inglaterra,75000000,32
29,Rúben Dias,Defensa central,25,Portugal,75000000,23
30,Bruno Fernandes,Mediocentro ofensivo,28,Portugal,75000000,35
31,Neymar,Extremo izquierdo,30,Brasil,75000000,26
32,Florian Wirtz,Mediocentro ofensivo,19,Alemania,70000000,1
33,Darwin Núñez,Delantero centro,23,Uruguay,70000000,26
34,Reece James,Lateral derecho,23,Inglaterra,70000000,17
35,Alphonso Davies,Lateral izquierdo,22,Canadá,70000000,24
36,Victor Osimhen,Delantero centro,24,Nigeria,70000000,19
37,Achraf Hakimi,Lateral derecho,24,Marruecos,70000000,28
38,Matthijs de Ligt,Defensa central,23,Países bajos,70000000,22
39,Trent Alexander-Arnold,Lateral derecho,24,Inglaterra,70000000,27
40,Kai Havertz,Mediocentro ofensivo,23,Alemania,70000000,30
41,Nicolò Barella,Mediocentro,25,Italia,70000000,33
42,Jack Grealish,Extremo izquierdo,27,Inglaterra,70000000,28
43,Leroy Sané,Extremo izquierdo,27,Alemania,70000000,26
44,João Cancelo,Lateral derecho,28,Portugal,70000000,31
45,Marquinhos,Defensa central,28,Brasil,70000000,28
46,Raheem Sterling,Extremo izquierdo,28,Inglaterra,70000000,27
47,Heung-min Son,Extremo izquierdo,30,Corea del sur,70000000,28
48,Wesley Fofana,Defensa central,22,Francia,65000000,8
49,Serge Gnabry,Extremo izquierdo,27,Alemania,65000000,29
50,Leon Goretzka,Mediocentro,27,Alemania,65000000,23